"Endpoint Name","Endpoint FQDN","IP","Antimalware","Network Attack Defense","Advanced Anti-Exploit","Firewall","Content Control","Antiphishing","Web Traffic Scan","Device Control","Power User","Exchange","Advanced Threat Control","Patch Management","Hyper Detect","Sandbox Analyzer","Anti-Tampering","Scan Mode"
"SVT-SRV-LLM-00155d02069b","svt-srv-llm.synovergetech.com","192.168.2.219","Enabled","Enabled","Enabled","Enabled","Enabled","Enabled","Enabled","Enabled","Enabled","Not installed","Enabled","Enabled","Enabled","Enabled","Enabled","Hybrid"
"svt-srv-voizvault-prod-00155d03f9ce","svt-srv-voizvault-prod","192.168.3.57","Enabled","Enabled","Enabled","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Enabled","Not installed","Enabled","Enabled","Not installed","Hybrid"
"viren’s MacBook Pro-ac07753b95a0","virens-macbook-pro.local","192.168.3.202","Enabled","Enabled","Not installed","Enabled","Enabled","Enabled","Enabled","Not installed","Not installed","Not installed","Enabled","Not installed","Not installed","Not installed","Not installed","Local"
"svt-srv-voizvault-00155d03f9cb","svt-srv-voizvault","192.168.3.53","Enabled","Enabled","Enabled","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Enabled","Not installed","Enabled","Enabled","Not installed","Hybrid"
"svt-srv-docker-04-00155d02069a","svt-srv-docker-04","192.168.2.103","Enabled","Enabled","Enabled","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Enabled","Not installed","Enabled","Enabled","Not installed","Hybrid"
"SVT-SRV-TS-INTERVIEW-00155d023a4c","svt-srv-ts-interview","192.168.2.96","Enabled","Enabled","Enabled","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Enabled","Not installed","Enabled","Enabled","Not installed","Hybrid"
"harbor-e0d55eefa509","harbor.synovergetech.com","192.168.2.250","Enabled","Enabled","Enabled","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Enabled","Not installed","Enabled","Enabled","Not installed","Local"
"svt-srv-mongodb-00155d023a54","svt-srv-mongodb","192.168.3.246","Enabled","Enabled","Enabled","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Enabled","Not installed","Enabled","Enabled","Not installed","Hybrid"
"exam.synovergetech.com-00155d02657a","exam.synovergetech.com","192.168.2.80","Enabled","Enabled","Enabled","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Enabled","Not installed","Enabled","Enabled","Not installed","Hybrid"
"oracle.synoverge.local-00155d020667","oracle.synoverge.local","192.168.2.206","Enabled","Disabled","Enabled","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Enabled","Not installed","Enabled","Enabled","Not installed","Hybrid"
"master-01-5254006f5e5c","master-01","192.168.3.212","Enabled","Enabled","Enabled","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Enabled","Not installed","Enabled","Enabled","Not installed","Hybrid"
"worker-01-525400d13021","worker-01","192.168.3.181","Enabled","Enabled","Enabled","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Enabled","Not installed","Enabled","Enabled","Not installed","Hybrid"
"worker-02-5254003fc0d3","worker-02","192.168.3.214","Enabled","Enabled","Enabled","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Enabled","Not installed","Enabled","Enabled","Not installed","Hybrid"
"worker-03-52540043fb50","worker-03","192.168.3.121","Enabled","Enabled","Enabled","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Enabled","Not installed","Enabled","Enabled","Not installed","Hybrid"
"sftp-00155d02068b","sftp","192.168.3.154","Enabled","Enabled","Enabled","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Enabled","Not installed","Enabled","Enabled","Not installed","Hybrid"
"synoverge-00155d02658a","synoverge","192.168.2.114","Enabled","Disabled","Enabled","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Enabled","Not installed","Enabled","Enabled","Not installed","Hybrid"
"SVT-PC-279","svt-pc-279.synovergetech.com","192.168.2.193","Enabled","Enabled","Enabled","Enabled","Enabled","Enabled","Enabled","Not installed","Enabled","Not installed","Enabled","Not installed","Enabled","Enabled","Enabled","Local"
"SVT-SRV-ORACLE-00155d023a45","svt-srv-oracle","192.168.2.170","Enabled","Disabled","Enabled","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Enabled","Not installed","Disabled","Enabled","Not installed","Hybrid"
"svt-srv-sonar-project-00155d023a42","svt-srv-sonar-project","192.168.2.165","Disabled","Disabled","Disabled","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Disabled","Not installed","Disabled","Disabled","Not installed","N/A"
"vv-restore-00155d0206ab","vv-restore","192.168.3.109","Disabled","Enabled","Enabled","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Enabled","Not installed","Enabled","Enabled","Not installed","Hybrid"
"SVT-SRV-SONAR-R-00155d02069e","svt-srv-sonar-r.synovergetech.com","192.168.2.126","Enabled","Enabled","Enabled","Not installed","Enabled","Enabled","Enabled","Not installed","Not installed","Not installed","Enabled","Enabled","Enabled","Enabled","Enabled","Hybrid"
